Prediction,Reference,Freq
ACTN,ACTN,244
ALPHA,ACTN,2
BETA,ACTN,2
ENT,ACTN,7
OTGAM,ACTN,2
VIB,ACTN,0
ACTN,ALPHA,2
ALPHA,ALPHA,21
BETA,ALPHA,0
ENT,ALPHA,10
OTGAM,ALPHA,1
VIB,ALPHA,0
ACTN,BETA,4
ALPHA,BETA,0
BETA,BETA,54
ENT,BETA,10
OTGAM,BETA,0
VIB,BETA,0
ACTN,ENT,6
ALPHA,ENT,0
BETA,ENT,1
ENT,ENT,156
OTGAM,ENT,3
VIB,ENT,1
ACTN,OTGAM,5
ALPHA,OTGAM,0
BETA,OTGAM,0
ENT,OTGAM,12
OTGAM,OTGAM,52
VIB,OTGAM,1
ACTN,VIB,1
ALPHA,VIB,0
BETA,VIB,0
ENT,VIB,4
OTGAM,VIB,0
VIB,VIB,14
