Prediction,Reference,Freq
FUNG,FUNG,6
INVER,FUNG,2
VENOM,FUNG,0
VERT,FUNG,7
FUNG,INVER,0
INVER,INVER,63
VENOM,INVER,0
VERT,INVER,7
FUNG,VENOM,0
INVER,VENOM,0
VENOM,VENOM,10
VERT,VENOM,0
FUNG,VERT,0
INVER,VERT,3
VENOM,VERT,1
VERT,VERT,58
