Prediction,Reference,Freq
ANA,ANA,6
BIME,ANA,0
CAT,ANA,0
MO,ANA,1
NP,ANA,2
ST,ANA,18
ANA,BIME,0
BIME,BIME,0
CAT,BIME,0
MO,BIME,2
NP,BIME,1
ST,BIME,3
ANA,CAT,0
BIME,CAT,0
CAT,CAT,7
MO,CAT,0
NP,CAT,0
ST,CAT,2
ANA,MO,0
BIME,MO,0
CAT,MO,0
MO,MO,59
NP,MO,14
ST,MO,48
ANA,NP,0
BIME,NP,0
CAT,NP,0
MO,NP,10
NP,NP,99
ST,NP,10
ANA,ST,0
BIME,ST,0
CAT,ST,1
MO,ST,11
NP,ST,4
ST,ST,348
