Prediction,Reference,Freq
FUN,FUN,45
OTEU,FUN,2
PLASMO,FUN,0
TOXO,FUN,0
TRYP,FUN,1
WORM,FUN,4
FUN,OTEU,1
OTEU,OTEU,35
PLASMO,OTEU,18
TOXO,OTEU,1
TRYP,OTEU,2
WORM,OTEU,9
FUN,PLASMO,2
OTEU,PLASMO,2
PLASMO,PLASMO,427
TOXO,PLASMO,2
TRYP,PLASMO,2
WORM,PLASMO,10
FUN,TOXO,0
OTEU,TOXO,0
PLASMO,TOXO,1
TOXO,TOXO,20
TRYP,TOXO,0
WORM,TOXO,0
FUN,TRYP,0
OTEU,TRYP,0
PLASMO,TRYP,5
TOXO,TRYP,2
TRYP,TRYP,110
WORM,TRYP,3
FUN,WORM,1
OTEU,WORM,2
PLASMO,WORM,14
TOXO,WORM,0
TRYP,WORM,0
WORM,WORM,150
